distance_km,engine_size,cylinders,driving_style,elevation_change,fuel_type,temperature,fuel_consumption
382.21,6.7,12,0,31.84,1,13.85,55.43
112.54,2.5,4,0,95.54,0,19.29,9.23
312.14,2.5,4,0,-335.92,0,42.73,31.4
33.94,2.0,4,1,194.67,1,40.56,3.41
72.18,2.0,4,0,-322.28,1,5.09,6.0
30.33,3.0,6,0,-348.64,1,14.52,2.71
173.47,2.0,4,0,319.71,1,8.25,16.46
52.95,4.4,8,0,102.55,0,2.36,5.99
490.69,3.6,6,2,93.54,0,26.73,80.54
442.65,3.6,6,0,498.62,0,22.72,49.34
370.84,2.4,4,2,-370.74,1,5.89,47.21
251.79,3.8,8,1,-322.41,0,41.98,33.97
123.04,2.0,4,2,136.9,1,25.61,13.97
479.73,2.0,4,0,-283.49,0,41.99,42.45
459.77,3.0,6,1,-83.77,0,24.74,54.31
208.33,3.5,6,2,-174.85,0,17.59,26.18
299.33,2.0,4,2,130.84,0,20.78,20.74
421.62,2.0,4,2,64.62,0,19.65,59.36
96.86,5.6,8,1,-461.14,0,11.39,11.53
69.04,2.0,4,0,-162.1,0,32.75,5.03
340.88,1.4,4,2,-455.55,0,43.66,29.99
491.26,3.6,6,1,414.65,1,29.48,70.83
436.7,1.5,4,1,8.11,1,37.39,33.87
379.82,3.5,6,2,-8.72,0,1.08,48.67
115.77,2.5,4,1,41.25,0,32.2,10.94
358.98,2.0,4,0,371.58,1,26.23,28.18
471.28,1.8,4,1,-257.55,1,43.34,32.19
221.24,2.5,4,1,32.37,1,43.13,20.05
409.9,2.0,4,2,-475.22,0,6.79,48.11
204.14,4.0,8,0,-221.29,0,10.17,23.57
184.9,2.0,4,1,429.36,1,31.59,17.93
28.47,3.5,6,1,377.01,0,10.92,3.66
34.1,5.3,8,1,-160.15,1,29.44,4.03
55.55,3.6,6,1,173.88,0,27.78,7.33
261.07,3.5,6,1,136.29,0,0.23,35.81
295.42,2.7,4,1,422.17,1,36.35,43.14
172.3,2.7,4,0,197.05,1,7.5,16.36
203.04,2.4,4,0,33.7,1,44.29,16.4
64.09,2.4,4,2,413.14,0,33.38,9.12
464.5,2.0,4,1,-112.34,0,30.03,32.62
354.8,2.4,4,1,-222.7,1,10.79,32.63
480.7,1.5,4,1,344.26,0,8.31,41.84
43.73,2.4,4,1,432.76,1,5.53,4.81
19.59,2.5,4,1,144.66,0,7.33,2.43
270.77,2.0,4,1,89.93,1,20.1,29.61
251.08,1.6,4,1,-79.26,1,39.92,18.26
78.22,2.0,4,1,-493.97,0,35.57,6.79
145.91,4.0,8,1,256.74,0,1.63,19.11
482.82,5.0,8,0,-474.95,0,9.29,51.6
339.89,2.4,4,2,309.2,1,8.04,44.96
194.46,4.4,8,2,-329.02,0,26.92,28.0
127.08,3.0,6,2,-394.79,1,9.98,16.71
114.83,5.0,8,2,27.79,1,11.57,21.52
468.0,2.0,4,1,-367.54,0,6.05,43.81
305.9,1.5,3,2,225.61,1,40.03,39.56
397.92,3.0,6,1,317.03,0,7.77,47.73
257.77,3.5,6,2,388.24,0,20.33,61.53
51.68,1.5,4,0,489.09,1,36.2,5.23
61.61,3.6,6,2,140.9,1,7.34,9.49
59.83,2.9,6,2,7.48,1,13.99,8.28
127.54,5.3,8,0,-94.35,1,9.87,14.4
423.06,2.0,4,2,-346.38,1,29.22,48.4
465.6,3.5,6,2,365.34,0,4.85,80.92
309.09,1.4,4,1,-0.61,1,8.79,22.88
74.35,3.6,6,0,210.72,1,30.71,8.22
302.6,2.0,4,2,-34.5,0,36.56,41.05
130.53,2.4,4,0,-188.54,0,14.58,10.66
171.17,3.0,6,0,-303.53,0,18.66,14.87
105.23,1.3,3,0,301.35,1,2.35,9.41
495.18,2.0,4,1,-176.86,1,11.78,39.3
264.32,2.3,4,0,14.47,1,39.58,22.38
28.0,5.3,8,2,-355.33,0,8.52,5.33
372.19,6.2,8,2,-471.81,0,39.85,52.78
336.79,2.0,4,1,481.21,0,20.47,42.63
276.42,2.5,4,2,314.24,0,19.43,38.98
270.09,1.5,3,2,-132.73,1,42.91,30.75
453.89,4.4,8,0,448.67,1,28.98,60.63
63.51,2.7,4,2,57.67,0,33.77,11.73
154.52,2.4,4,2,-136.35,1,32.94,18.86
27.63,2.3,4,1,-280.69,0,38.76,2.86
132.93,2.0,4,0,-358.76,1,37.92,8.26
202.53,2.0,4,1,192.89,1,39.09,23.94
478.23,3.2,6,1,417.96,1,33.02,60.97
317.45,2.0,4,0,265.81,0,12.33,32.52
431.93,6.0,12,2,-302.52,0,29.85,78.24
242.82,1.6,4,0,384.46,0,26.73,15.49
322.17,2.5,4,1,262.05,1,17.46,31.15
24.44,3.6,6,1,-77.71,0,20.38,3.24
300.92,2.0,4,2,-325.34,1,42.95,39.05
436.62,2.0,4,0,226.2,0,30.73,34.95
293.2,2.4,4,0,425.31,1,18.94,32.89
410.54,2.0,4,0,357.65,0,9.06,34.29
41.83,3.5,6,1,-59.82,0,11.16,6.4
150.75,2.0,4,1,-443.89,1,21.76,11.26
399.43,2.0,4,2,-446.95,1,22.73,30.18
479.84,2.0,4,1,361.34,1,38.48,50.95
63.67,3.9,8,1,-97.1,0,11.95,8.0
56.54,3.0,6,0,-345.99,0,32.39,4.3
70.6,2.0,4,2,-380.95,1,18.93,8.22
7.32,3.5,6,1,-203.31,0,4.66,0.87
408.81,2.4,4,0,335.8,1,39.71,40.98
32.3,2.0,4,2,57.79,1,0.52,3.32
411.61,2.0,4,1,-123.19,0,40.44,19.44
126.56,3.0,6,2,-132.9,1,41.01,16.94
309.34,1.6,4,1,0.1,1,2.3,31.46
215.28,3.0,6,0,-496.69,0,9.93,16.74
432.34,2.0,4,1,-75.54,0,9.99,42.96
16.87,3.0,6,0,103.17,1,43.09,1.9
205.41,4.0,8,2,423.28,0,23.97,46.39
342.31,2.0,4,1,-123.91,0,28.04,25.97
65.71,3.0,6,2,-330.92,0,12.26,11.84
125.73,3.5,6,1,449.13,1,34.08,20.09
263.0,2.0,4,1,169.75,1,44.04,25.49
347.79,3.0,6,2,-327.12,1,30.39,39.67
421.13,3.4,6,2,-269.02,1,11.1,56.34
467.71,2.3,4,0,417.4,1,8.1,55.54
264.8,3.5,6,1,-416.36,0,38.4,29.95
444.75,3.0,6,0,434.02,1,14.54,60.19
105.19,2.0,4,0,-157.94,0,40.54,9.01
336.58,2.3,4,1,374.86,0,14.66,52.91
46.2,2.0,4,2,-40.95,1,23.54,3.13
48.58,1.5,3,2,-329.38,1,4.01,4.35
136.66,3.0,6,1,-367.52,0,18.08,13.64
472.32,4.6,8,0,-116.41,1,35.76,61.45
79.42,2.0,4,1,207.4,1,36.21,11.37
250.8,2.0,4,1,-176.22,0,14.64,22.41
7.59,3.7,6,1,-116.52,0,34.01,0.98
140.46,2.5,4,2,347.33,1,15.05,15.31
330.37,3.0,6,0,149.37,1,17.54,38.8
183.94,3.6,6,2,497.43,0,23.56,31.2
290.19,3.6,6,0,182.29,0,18.91,32.29
206.94,3.0,6,0,-275.32,1,10.35,16.76
471.95,2.5,4,2,168.05,1,22.42,50.39
142.66,1.5,4,2,43.78,0,44.5,13.67
224.6,4.6,8,1,90.61,1,42.91,36.96
487.29,2.0,4,0,374.41,0,6.34,53.58
493.44,3.0,6,1,254.88,0,6.64,74.98
229.74,6.2,8,0,-119.51,0,42.79,27.71
32.86,2.0,4,2,-442.33,1,2.44,4.02
353.45,3.5,6,2,184.7,0,33.29,50.36
376.85,3.5,6,0,440.44,1,8.47,37.35
253.22,3.5,6,2,258.92,0,23.22,51.48
111.37,5.0,8,0,261.51,1,17.91,13.41
339.72,2.0,4,0,389.78,1,16.68,29.51
27.11,2.0,4,2,-191.25,0,9.93,2.8
387.07,3.0,6,2,97.31,1,40.67,74.19
275.39,5.3,8,2,-268.71,0,39.0,47.71
159.66,3.9,8,2,125.9,0,35.69,28.41
451.61,5.7,8,1,307.36,1,7.38,68.49
376.07,3.0,6,2,-262.47,1,16.11,36.7
80.97,2.0,4,0,443.23,0,37.22,8.8
314.21,1.6,4,0,79.55,0,15.5,18.48
486.8,1.6,4,2,-354.51,1,11.87,38.3
200.03,2.0,4,1,-21.43,0,30.22,15.98
175.52,3.6,6,1,199.06,0,2.51,24.76
477.81,3.6,6,2,6.81,0,43.93,76.37
412.57,2.0,4,2,-444.12,1,6.71,43.76
338.69,5.0,8,0,111.39,0,17.82,36.65
369.19,2.0,4,0,373.35,0,39.0,37.83
232.59,3.5,6,2,348.42,0,25.77,35.89
155.96,3.0,6,0,-64.27,0,43.86,14.89
164.19,3.8,6,0,-78.46,1,29.38,16.02
258.32,2.0,4,0,386.4,1,32.71,25.27
436.99,1.5,4,2,-216.67,1,16.12,23.89
488.46,2.0,4,2,-352.83,0,26.48,54.61
330.52,2.0,4,0,129.16,1,4.56,27.03
25.31,4.4,8,2,-394.99,1,26.63,4.7
339.76,6.6,12,0,-360.29,1,10.95,43.73
216.11,3.0,6,2,224.12,0,31.31,34.83
452.73,1.5,3,1,415.81,0,3.05,50.05
14.81,2.4,4,1,-499.01,0,20.86,1.21
82.43,1.5,3,1,40.93,0,25.47,6.67
184.54,2.9,6,1,-202.6,0,18.36,18.91
263.04,1.5,4,0,-412.99,0,33.0,15.11
9.71,2.5,4,0,328.97,1,41.25,0.86
466.91,3.0,6,2,262.13,1,10.82,74.52
52.75,4.0,8,1,-268.02,1,25.74,6.38
348.74,3.0,6,1,-89.56,1,28.54,38.55
373.46,2.5,4,2,-292.86,1,36.95,28.4
223.65,2.5,4,0,-202.96,0,11.03,12.33
322.1,6.2,8,0,-439.99,0,33.23,37.0
396.26,4.4,8,2,-227.19,0,33.23,61.1
111.32,4.0,8,1,475.02,1,34.01,18.68
154.02,1.5,3,2,145.93,0,32.22,16.24
368.42,6.2,8,0,-65.49,1,0.79,44.95
336.06,5.0,8,1,-255.0,1,27.77,42.82
342.93,5.2,8,1,224.28,1,7.69,79.0
221.09,2.5,4,0,150.16,1,9.24,17.43
265.74,6.2,8,2,-222.01,1,26.4,45.13
180.99,3.0,6,1,219.05,1,4.45,20.15
476.79,2.0,4,1,25.42,0,18.69,44.52
379.9,6.7,12,0,-138.21,1,12.08,54.1
212.66,2.5,4,2,118.48,1,12.48,31.81
134.8,2.5,4,1,-295.37,0,6.22,13.16
72.13,2.0,4,1,-79.28,0,6.55,5.93
51.33,3.0,6,0,353.59,1,31.45,5.4
419.21,1.5,4,2,-364.96,0,14.41,40.52
257.23,3.0,6,0,315.01,0,33.46,28.03
251.29,2.0,4,1,11.95,1,20.96,19.46
91.26,3.0,6,2,-456.1,0,5.16,9.43
358.31,4.0,8,1,310.3,0,39.17,66.54
233.75,3.0,6,1,361.74,0,5.77,26.92
410.65,3.0,6,1,479.9,0,31.77,64.49
483.2,3.5,6,0,94.51,0,21.43,47.27
293.05,3.0,6,1,-107.93,1,24.61,29.13
364.61,1.5,4,2,-183.52,1,38.04,39.46
263.72,5.0,8,2,-355.02,1,36.36,40.75
53.3,2.4,4,0,-401.35,0,14.7,3.94
341.06,2.0,4,0,-144.91,1,16.69,29.58
482.62,2.0,4,2,-76.62,1,8.51,56.05
247.17,6.6,12,2,422.74,0,40.68,58.13
467.24,2.0,4,1,-496.71,0,35.2,43.04
255.44,4.0,8,1,-22.01,0,36.04,35.27
373.46,5.7,8,2,-164.83,0,6.45,65.09
459.39,5.3,8,0,-365.63,1,16.99,48.6
127.77,2.0,4,1,-235.2,1,22.2,11.14
325.05,3.0,4,2,-279.64,0,39.26,33.09
20.38,5.7,8,0,-417.1,0,42.9,2.85
81.96,2.0,4,0,-275.89,0,18.33,5.53
461.16,4.4,8,0,315.67,1,35.55,67.42
374.6,2.8,4,1,67.97,0,11.9,38.96
128.28,6.2,8,0,-388.84,1,22.09,14.4
254.01,5.3,8,2,-171.45,1,11.21,43.27
111.88,4.4,8,2,496.19,0,2.83,21.64
464.8,2.0,4,2,258.94,1,28.51,44.24
333.5,2.0,4,2,463.76,0,17.38,48.84
244.23,2.0,4,0,-167.34,1,18.69,19.99
171.51,2.0,4,2,-435.9,1,25.9,19.89
137.67,5.0,8,0,-124.87,0,5.31,16.08
491.36,2.0,4,0,350.23,1,4.08,42.3
279.09,1.5,3,1,91.96,0,31.04,23.05
165.57,6.2,8,0,6.02,1,22.82,20.83
302.31,5.0,8,2,324.15,1,36.53,61.69
160.3,2.0,4,0,-389.37,0,33.02,13.76
431.54,1.5,4,1,70.45,0,15.71,41.6
30.13,3.0,6,0,295.24,1,29.36,2.79
196.5,2.4,4,1,-91.86,0,33.58,19.76
343.45,1.5,3,2,6.23,1,1.27,35.18
324.44,2.7,4,2,371.26,0,7.4,50.79
390.69,5.0,8,2,-442.8,1,44.51,61.34
449.23,5.3,8,0,5.71,1,28.71,51.52
136.22,5.0,8,1,266.92,1,27.33,19.75
476.32,1.6,4,1,-165.46,0,44.38,45.51
223.69,6.2,8,1,442.17,0,4.35,42.86
460.01,5.0,8,1,-140.79,0,15.31,57.09
380.84,3.0,6,2,324.75,0,1.77,55.36
290.39,3.0,6,0,-52.5,0,12.48,27.39
38.11,2.5,4,1,269.02,1,28.2,3.36
152.87,2.4,4,0,208.04,1,8.05,15.55
442.56,4.0,6,1,204.42,1,36.92,63.34
478.56,1.8,4,2,154.32,1,22.71,50.84
240.81,2.0,4,0,171.93,1,19.19,17.37
420.27,2.0,4,2,-81.61,1,11.6,51.39
200.94,2.0,4,2,-313.83,0,6.88,27.51
143.53,2.0,4,0,-292.22,0,28.17,9.83
69.89,4.0,8,2,-7.4,1,31.36,10.53
436.32,2.0,4,1,-243.04,0,23.39,39.69
408.2,3.0,6,1,-326.78,0,2.52,39.97
326.35,3.3,6,1,-303.91,1,12.68,34.44
305.39,2.0,4,0,-468.12,1,1.16,19.37
397.58,6.3,12,2,-426.95,0,27.55,84.05
101.56,2.3,4,0,475.09,1,16.31,10.09
183.08,1.6,3,2,-99.5,1,21.88,23.96
296.95,3.2,6,1,435.67,1,29.87,38.05
426.25,3.0,6,0,112.85,0,25.96,38.2
386.21,3.0,4,0,107.58,1,27.86,28.66
399.81,3.3,6,2,-1.73,0,24.1,56.63
77.85,2.5,4,1,417.89,0,7.71,6.74
407.89,3.3,6,2,497.41,1,37.13,69.46
229.76,3.0,6,2,285.59,0,39.17,40.5
405.37,3.0,6,2,-472.93,1,37.98,46.83
76.17,3.0,4,1,98.01,1,27.88,6.56
285.92,3.0,6,2,-452.8,0,42.14,38.6
316.17,4.4,8,0,-147.59,0,13.86,36.6
214.78,2.4,4,2,-149.26,1,31.68,26.57
462.46,3.6,6,2,409.59,0,16.96,87.64
347.25,1.5,4,2,-400.36,1,30.4,35.65
472.08,2.5,4,0,-101.88,1,14.58,26.6
20.27,5.0,8,1,320.65,0,10.93,3.72
68.23,1.5,4,1,40.25,0,4.23,5.96
405.56,2.0,4,0,-393.3,0,25.82,26.05
223.51,2.0,4,0,27.75,0,5.21,21.05
496.74,5.0,8,2,-331.02,0,25.54,70.77
156.01,6.5,12,2,360.47,0,44.39,40.26
60.95,1.5,4,0,-268.54,0,20.61,4.0
64.29,2.0,4,0,-289.7,0,41.13,3.83
34.8,2.7,4,1,-294.8,1,44.25,4.8
386.95,2.4,4,2,-384.32,1,14.24,37.87
485.3,3.3,6,0,71.62,0,37.31,42.5
85.36,3.5,6,1,485.26,1,38.17,12.38
163.39,2.5,4,0,77.1,0,38.38,14.74
179.27,2.0,4,2,210.03,0,3.38,23.95
89.82,3.0,6,1,-28.22,1,40.76,12.45
209.26,3.5,6,1,-198.5,0,27.71,18.94
300.71,3.0,6,2,-201.42,0,30.89,42.38
410.82,3.3,6,2,-361.88,1,13.9,54.81
259.51,2.0,4,0,329.39,0,2.84,23.77
116.46,2.0,4,1,395.11,0,26.69,12.11
240.53,3.6,6,2,-140.95,1,31.0,35.05
99.7,2.7,6,0,-188.13,0,34.33,9.54
171.35,3.5,6,1,152.67,0,28.17,17.02
373.9,2.0,4,1,106.37,0,3.66,39.37
492.68,2.0,4,0,63.06,0,33.0,36.63
278.6,1.6,4,0,288.6,0,0.86,27.74
248.52,3.5,6,1,-69.74,0,2.69,38.34
395.72,4.4,8,1,-69.75,1,8.1,50.89
397.35,6.2,8,2,-332.14,0,36.04,73.33
396.08,2.4,4,2,-174.96,0,30.62,52.92
42.62,2.0,4,0,189.93,0,38.64,2.93
341.85,2.5,4,2,285.14,1,28.72,38.62
424.04,2.4,4,1,-48.52,1,34.6,40.32
103.68,5.7,8,0,68.02,0,34.93,12.85
149.07,2.5,4,0,-305.87,0,44.44,10.25
91.64,2.0,4,0,151.39,1,5.01,7.73
276.17,1.6,4,1,69.72,1,28.88,21.78
170.15,3.6,6,1,-264.9,0,17.25,19.47
258.09,3.0,6,0,-146.06,1,12.28,21.56
54.1,2.5,4,0,-36.46,0,12.89,4.09
439.36,2.0,4,0,34.45,1,11.38,34.55
221.97,3.6,6,0,-58.78,1,0.61,20.5
441.76,3.0,6,2,-324.61,0,26.77,72.9
227.0,6.2,8,2,-103.52,1,28.16,44.49
456.59,5.7,8,0,-313.47,0,9.72,51.91
80.79,6.7,12,1,-454.83,1,5.94,13.26
19.7,3.5,6,0,310.59,1,19.82,2.46
406.37,2.5,4,1,-128.92,0,36.35,30.82
188.05,4.4,8,0,-214.56,0,14.49,20.59
338.84,2.0,4,0,-333.34,0,6.97,26.84
34.49,4.0,8,0,474.97,1,33.98,4.94
452.96,2.0,4,2,-204.99,1,38.3,45.41
318.4,2.0,4,2,-317.5,1,39.93,33.68
35.8,2.4,4,0,-392.55,0,1.99,3.29
53.07,2.0,4,0,-302.62,1,20.59,3.35
247.87,3.7,6,1,397.42,0,38.19,40.39
259.02,3.5,6,0,-148.1,1,7.2,30.1
147.74,2.5,4,1,241.69,0,43.45,15.91
334.44,3.0,6,2,-406.38,0,34.68,46.19
261.85,1.6,4,0,-474.75,0,10.58,9.02
116.9,3.5,6,1,-365.34,0,39.36,11.89
83.71,2.0,4,2,-86.69,0,35.94,9.65
175.13,3.0,6,2,-420.8,1,16.14,22.76
378.44,2.5,4,2,482.74,0,30.76,64.56
144.01,2.0,4,1,209.42,1,24.16,14.27
240.92,2.0,4,1,-58.09,1,1.51,22.38
38.88,3.6,6,2,420.92,0,20.22,9.48
121.45,3.5,6,0,358.03,0,43.63,13.73
199.79,2.0,4,1,-54.86,0,18.14,18.96
177.33,3.0,6,0,36.52,1,0.15,16.81
136.49,3.3,6,0,-403.04,0,40.0,10.29
446.97,5.3,8,1,458.3,1,2.53,78.54
94.76,3.3,6,2,382.07,0,1.69,17.44
497.12,2.9,6,1,244.43,0,42.88,61.28
427.05,3.3,6,2,186.13,1,23.57,53.45
109.54,1.6,4,0,329.61,1,5.63,9.3
437.11,1.2,3,1,-28.92,0,33.07,34.85
102.03,3.0,6,0,84.59,1,16.17,12.16
260.39,6.2,8,0,-59.99,0,43.02,32.96
21.92,3.0,6,2,397.1,0,44.72,3.95
486.97,6.2,8,0,396.76,1,0.87,60.79
169.3,5.3,8,2,-298.49,1,18.69,27.18
331.42,5.7,8,2,438.66,0,41.46,66.41
392.62,3.0,6,0,144.72,1,28.16,34.84
121.28,3.0,4,0,-9.28,0,21.53,8.11
317.35,2.7,4,0,75.45,1,8.1,35.86
317.65,3.5,6,0,-384.1,1,12.35,25.75
235.01,3.0,6,1,-154.16,1,33.6,28.36
205.76,2.5,4,0,-368.81,0,3.12,19.25
166.37,3.0,6,0,367.21,0,33.67,18.03
287.77,2.0,4,0,-346.37,1,0.19,20.05
464.2,3.6,6,2,85.2,0,40.05,73.45
167.03,3.5,6,1,240.37,1,12.54,17.38
242.86,3.0,6,0,250.58,0,10.18,28.28
139.56,2.0,4,0,82.46,1,12.17,11.72
63.11,3.7,6,2,212.2,0,8.24,10.39
129.9,2.4,4,0,444.34,1,26.6,14.0
389.76,2.0,4,2,3.09,0,10.51,46.17
408.29,2.0,4,1,216.8,0,30.81,40.83
422.36,4.0,8,0,144.4,0,9.42,45.81
348.43,2.0,4,2,-309.44,1,3.14,29.41
207.3,2.0,4,0,-260.93,0,7.55,19.28
37.51,3.0,6,1,-34.0,1,15.12,4.09
118.07,3.0,6,1,-7.19,1,5.57,11.93
209.4,4.0,8,0,444.13,1,1.23,38.4
90.04,2.0,4,1,244.87,1,29.98,8.2
21.53,2.5,4,1,-237.23,1,30.73,1.18
71.62,3.0,6,0,270.89,0,16.12,9.27
145.52,3.0,6,1,29.52,1,11.56,23.66
398.23,3.0,6,0,491.92,1,4.9,49.57
126.51,3.0,6,2,435.85,1,33.78,16.39
197.17,2.0,4,2,-64.81,1,3.51,25.97
414.74,1.5,4,2,211.77,1,7.33,43.79
147.07,5.6,8,2,-409.05,0,9.46,28.09
388.63,3.7,6,0,144.47,1,20.95,38.8
337.8,2.0,4,0,-124.77,0,5.85,24.86
292.68,1.6,4,0,-470.93,0,28.81,14.28
299.54,3.5,6,2,-481.28,0,19.99,31.66
452.45,3.5,6,2,-493.51,0,26.37,68.57
66.93,1.5,4,2,-93.79,1,31.69,6.14
261.43,2.0,4,0,105.8,1,38.06,18.72
301.38,4.4,8,2,-435.62,0,40.52,44.51
51.31,2.0,4,0,-301.35,1,12.1,2.43
242.43,3.0,6,1,357.34,0,44.38,32.08
392.76,3.0,6,1,22.75,0,3.14,41.85
135.34,2.4,4,0,-261.35,0,33.5,9.64
217.82,3.6,6,1,226.22,0,20.18,27.51
391.86,3.0,6,0,54.61,0,34.73,37.18
347.81,2.3,4,2,121.9,1,16.85,54.57
122.06,3.2,6,2,414.26,0,8.22,20.13
439.35,6.2,8,1,-371.71,0,20.28,55.16
194.2,2.0,4,1,-418.4,1,9.16,18.26
260.1,3.0,6,2,-261.66,1,43.46,40.98
259.09,3.3,6,0,-298.02,0,9.02,24.79
458.99,1.5,4,1,414.37,0,3.21,41.6
218.4,2.0,4,1,-290.73,1,9.58,18.98
319.91,3.6,6,1,-382.26,0,13.68,35.81
201.34,2.0,4,2,-17.02,0,25.12,24.06
468.25,2.0,4,0,177.9,1,23.05,41.47
75.09,4.0,8,0,-165.97,1,27.82,8.98
166.8,4.0,8,2,199.24,1,31.04,30.9
416.95,3.6,6,1,-165.44,0,27.32,40.66
240.69,5.0,8,2,459.3,0,29.4,48.74
457.11,2.7,6,1,-199.67,0,2.75,53.88
224.18,2.0,4,0,464.49,1,13.84,22.44
144.49,1.6,4,1,495.28,1,12.67,12.28
314.03,2.5,4,2,395.32,0,42.29,45.67
293.68,2.0,4,0,495.47,1,16.01,27.87
221.23,3.0,6,2,16.79,0,43.39,39.5
190.45,5.7,8,1,-6.2,1,15.22,29.16
202.29,2.0,4,2,-144.54,0,0.43,20.79
391.88,2.0,4,0,-241.56,1,35.05,28.62
180.03,2.0,4,2,442.26,0,25.93,23.74
259.83,1.5,3,2,187.37,0,8.18,28.98
62.55,3.0,4,1,-431.22,1,22.59,4.62
159.99,2.4,4,1,-88.56,1,44.55,14.4
430.73,3.2,6,1,464.65,0,21.87,58.67
454.78,2.0,4,2,5.5,0,41.03,68.57
330.65,1.6,4,0,395.65,1,22.96,29.57
162.75,2.0,4,1,-191.31,1,35.33,13.9
106.93,1.5,4,2,-348.47,0,42.4,10.19
394.64,5.3,8,1,-295.44,0,9.32,54.5
333.21,3.0,6,2,374.14,0,33.69,49.59
357.52,1.8,4,1,-181.04,0,34.64,24.31
200.6,3.0,6,1,-260.66,1,6.38,20.29
384.33,2.4,4,2,485.89,1,1.92,62.36
57.36,3.0,6,0,261.36,1,30.16,6.16
178.53,4.4,8,1,128.09,1,16.76,23.19
62.77,3.5,6,2,-456.21,0,31.44,8.11
338.87,2.0,4,0,315.96,0,37.9,30.43
164.62,1.5,3,1,281.14,1,15.41,15.59
23.51,2.4,4,1,-329.49,1,17.41,2.21
362.77,3.0,6,2,-427.22,1,12.23,41.78
216.87,4.0,6,1,-381.21,1,27.64,24.89
228.04,2.4,4,2,123.6,1,36.8,30.43
152.54,2.0,4,1,-439.68,0,24.35,15.2
143.38,3.0,6,0,-322.2,1,2.83,13.61
57.72,3.6,6,0,-294.0,1,40.09,5.41
497.87,2.5,4,2,310.47,0,42.51,95.84
299.2,4.4,8,2,397.3,0,38.87,53.76
70.62,2.0,4,0,155.81,0,25.59,7.09
31.72,2.0,4,2,-465.67,1,30.86,2.75
425.98,3.0,6,1,-485.55,0,36.91,46.18
347.8,1.6,4,0,-296.68,1,8.38,24.16
292.33,2.0,4,1,110.18,1,34.19,27.32
461.66,1.4,4,2,-378.27,0,21.54,36.82
200.57,3.0,4,0,-255.34,0,3.02,13.25
